,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,2055,"Sleepy Hallow",52354,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
56,"Oh My God",Adele,50175,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
57,"AHHH HA","Lil Durk",49694,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
58,"MONTERO (Call Me By Your Name)","Lil Nas X",49561,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
59,"love nwantiti (ah ah ah)",CKay,49534,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
60,"In Da Club","50 Cent",48603,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
61,"'Till I Collapse",Eminem,48314,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
62,Beggin',Måneskin,48238,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
63,traitor,"Olivia Rodrigo",48103,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
64,"TO THE MOON","Jnr Choi",48094,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
65,"Dark Red","Steve Lacy",47118,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
66,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",46670,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
67,"Someone You Loved","Lewis Capaldi",46616,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
68,"The Next Episode","Dr. Dre",46088,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
69,"family ties (with Kendrick Lamar)","Baby Keem",46086,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
70,Cigarettes,"Juice WRLD",45877,https://open.spotify.com/track/1kBMIYqe0ILRUJZ7K2PV0k
71,RAPSTAR,"Polo G",45875,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
72,505,"Arctic Monkeys",45801,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
73,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",45789,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
74,Formula,Labrinth,45356,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
75,"Way 2 Sexy (with Future & Young Thug)",Drake,45188,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
76,"Monëy so big",Yeat,45170,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
77,"Big Energy",Latto,45170,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
78,"drivers license","Olivia Rodrigo",45085,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
79,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",43920,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
80,"Mood (feat. iann dior)",24kGoldn,43760,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
81,"Fair Trade (with Travis Scott)",Drake,43725,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
82,"Rocking A Cardigan in Atlanta","lil Shordie Scott",43522,https://open.spotify.com/track/0N0h5lXc4HOiLgGb9EZi8m
83,Notion,"The Rare Occasions",43458,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
84,Toxic,BoyWithUke,43419,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
85,Sacrifice,"The Weeknd",43325,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
86,"Save Your Tears","The Weeknd",43241,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
87,"Meet Me At Our Spot","THE ANXIETY",43185,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
88,High,"The Chainsmokers",43117,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
89,"Dancing Feet (feat. DNCE)",Kygo,42881,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0
90,"You Right","Doja Cat",42860,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
91,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,42675,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
92,"Banking On Me",Gunna,42364,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
93,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",42357,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
94,"Love Sosa","Chief Keef",42171,https://open.spotify.com/track/4IowQDUOzUvNtp72HMDcKO
95,Heartless,"Kanye West",42025,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
96,"P power (feat. Drake)",Gunna,41857,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
97,"Happier Than Ever","Billie Eilish",41672,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
98,"Ni**as In Paris",JAY-Z,41567,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
99,"Godzilla (feat. Juice WRLD)",Eminem,41280,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
100,"I Hate U",SZA,41028,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
101,"What Else Can I Do?","Diane Guerrero",40963,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
102,"The Joker And The Queen (feat. Taylor Swift)","Ed Sheeran",40867,https://open.spotify.com/track/6N1K5OVVCopBjGViHs2IvP
103,"Wants and Needs (feat. Lil Baby)",Drake,40100,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
104,"Buy Dirt","Jordan Davis",40055,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
105,"Martin & Gina","Polo G",39503,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
106,Dior,"Pop Smoke",39280,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
107,"Dreams - 2004 Remaster","Fleetwood Mac",39079,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
108,"Don't Stop Believin'",Journey,38662,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
109,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",38479,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
110,"Watermelon Sugar","Harry Styles",38207,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
111,Circles,"Post Malone",38176,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
112,HANDSOMER,Russ,38130,https://open.spotify.com/track/4v1TTTCadimzZkTuDTnYBc
113,"Praise God","Kanye West",38056,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
114,"Fancy Like","Walker Hayes",37996,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
115,"Mr. Brightside","The Killers",37955,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
116,"Dance Monkey","Tones And I",37882,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
117,"Pursuit Of Happiness (Nightmare)","Kid Cudi",37841,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
118,"The Spins","Mac Miller",37595,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
119,Sky,"Playboi Carti",37473,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
120,"Lucid Dreams","Juice WRLD",37174,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
121,Revenge,XXXTENTACION,37152,https://open.spotify.com/track/5TXDeTFVRVY7Cvt0Dw4vWW
122,Riptide,"Vance Joy",36967,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
123,"Bois Lie (feat. Machine Gun Kelly)","Avril Lavigne",36887,https://open.spotify.com/track/2lHktSigIAZqf7BkA7NRS7
124,"3 Nights","Dominic Fike",36551,https://open.spotify.com/track/0uI7yAKUf52Cn7y3sYyjiX
125,MAMIII,"Becky G",36473,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
126,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",36392,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
127,"Before You Go","Lewis Capaldi",36328,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
128,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",36266,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
129,"California Love - Original Version",2Pac,36213,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
130,"deja vu","Olivia Rodrigo",35872,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
131,"Astronaut In The Ocean","Masked Wolf",35781,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
