,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,2055,"Sleepy Hallow",47177,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
55,Dandelions,"Ruth B.",47101,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
56,"In Da Club","50 Cent",46953,https://open.spotify.com/track/7iL6o9tox1zgHpKUfh9vuC
57,"No Role Modelz","J. Cole",46169,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
58,"love nwantiti (ah ah ah)",CKay,45838,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
59,Softcore,"The Neighbourhood",45657,https://open.spotify.com/track/2K7xn816oNHJZ0aVqdQsha
60,"Big Energy",Latto,45021,https://open.spotify.com/track/6Zu3aw7FfjAF9WA0fA81Oq
61,"My Universe",Coldplay,45021,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
62,"Last Call",Khalid,44864,https://open.spotify.com/track/7k0wVBW3cvV6Xmb87JikIf
63,Beggin',Måneskin,44837,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
64,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",44667,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
65,"All For Us",Labrinth,44165,https://open.spotify.com/track/76YSWx6L6FNsuaP6GWBb8P
66,"TO THE MOON","Jnr Choi",43934,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
67,"Dreams - 2004 Remaster","Fleetwood Mac",43928,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
68,"Oh My God",Adele,43314,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
69,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",42819,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
70,"What Else Can I Do?","Diane Guerrero",42376,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
71,"The Next Episode","Dr. Dre",42054,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
72,"Mood (feat. iann dior)",24kGoldn,41979,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
73,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",41950,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
74,"drivers license","Olivia Rodrigo",41430,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
75,"'Till I Collapse",Eminem,41381,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
76,"Rocking A Cardigan in Atlanta","lil Shordie Scott",41311,https://open.spotify.com/track/0N0h5lXc4HOiLgGb9EZi8m
77,traitor,"Olivia Rodrigo",41232,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
78,"Save Your Tears","The Weeknd",41126,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
79,"Dark Red","Steve Lacy",41048,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
80,"Don't Stop Believin'",Journey,40948,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
81,"Way 2 Sexy (with Future & Young Thug)",Drake,40908,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
82,RAPSTAR,"Polo G",40879,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
83,"Monëy so big",Yeat,40710,https://open.spotify.com/track/7BbaIYAdi3pg4MGl6PHwPv
84,Sacrifice,"The Weeknd",40596,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
85,"Someone You Loved","Lewis Capaldi",40378,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
86,"Buy Dirt","Jordan Davis",40339,https://open.spotify.com/track/69AIpwGNLxr4qS1X5ynx60
87,"You Right","Doja Cat",40246,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
88,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",40215,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
89,"Fancy Like","Walker Hayes",40165,https://open.spotify.com/track/58UKC45GPNTflCN6nwCUeF
90,505,"Arctic Monkeys",40134,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
91,"Meet Me At Our Spot","THE ANXIETY",40027,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
92,"Fair Trade (with Travis Scott)",Drake,39572,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
93,Notion,"The Rare Occasions",39241,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
94,"family ties (with Kendrick Lamar)","Baby Keem",39111,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
95,"Dance Monkey","Tones And I",38988,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
96,High,"The Chainsmokers",38310,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
97,"Elliot's Song - From ""Euphoria"" An HBO Original Series","Dominic Fike",38066,https://open.spotify.com/track/7JIIY2oDPFkURYMCLJuzhe
98,"Godzilla (feat. Juice WRLD)",Eminem,37763,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
99,"Ni**as In Paris",JAY-Z,37750,https://open.spotify.com/track/4Li2WHPkuyCdtmokzW2007
100,"Watermelon Sugar","Harry Styles",37404,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
101,"Happier Than Ever","Billie Eilish",37340,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
102,"Mr. Brightside","The Killers",36866,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
103,"The Spins","Mac Miller",36667,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL
104,Riptide,"Vance Joy",36374,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
105,"P power (feat. Drake)",Gunna,36303,https://open.spotify.com/track/0lEjxUUlKqjqXrVlIHFduD
106,"I Hate U",SZA,36213,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
107,"Astronaut In The Ocean","Masked Wolf",35937,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
108,Cigarettes,"Juice WRLD",35897,https://open.spotify.com/track/1kBMIYqe0ILRUJZ7K2PV0k
109,"AHHH HA","Lil Durk",35892,https://open.spotify.com/track/54VFhe501kUbDYj2OrueMp
110,Formula,Labrinth,35873,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
111,MAMIII,"Becky G",35490,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
112,Toxic,BoyWithUke,35418,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
113,Heartless,"Kanye West",35083,https://open.spotify.com/track/4EWCNWgDS8707fNSZ1oaA5
114,Dior,"Pop Smoke",35074,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
115,"Bohemian Rhapsody - Remastered 2011",Queen,35048,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
116,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",35023,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
117,"Wants and Needs (feat. Lil Baby)",Drake,34945,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
118,"Hypnotize - 2014 Remaster","The Notorious B.I.G.",34900,https://open.spotify.com/track/7KwZNVEaqikRSBSpyhXK2j
119,Circles,"Post Malone",34792,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
120,"Banking On Me",Gunna,34770,https://open.spotify.com/track/7Fege3yv4dvehB3NdRBGwI
121,"Pursuit Of Happiness (Nightmare)","Kid Cudi",34606,https://open.spotify.com/track/4kTLpAbhuEGHAAdDjOIWaa
